V_конт.л	Частота. об/мин	Констр.коэф.	Кол-во слоёв
60		50		0.003		89
m_Pu.кг m_слоя.кг  ρ_слоя.г/см3  V_слоя. л	С_Pu_в_слое. кг/л
0.28	1.4	5.6	0.25		1.12
0.3	1.5	5.7	0.263157895	1.14
0.285	1.5	5.6	0.267857143	1.06
0.285	1.5	5.8	0.25862069	1.10
0.3	1.5	5.8	0.25862069	1.16
0.266	1.4	5.8	0.24137931	1.10
0.315	1.5	5.8	0.25862069	1.22
0.28	1.4	5.8	0.24137931	1.16
0.28	1.4	5.7	0.245614035	1.14
0.285	1.5	5.6	0.267857143	1.06
0.294	1.4	5.8	0.24137931	1.22
0.3	1.5	5.6	0.267857143	1.12
0.28	1.4	5.8	0.24137931	1.16
0.294	1.4	5.7	0.245614035	1.20
0.285	1.5	5.8	0.25862069	1.10
0.294	1.4	5.8	0.24137931	1.22
0.28	1.4	5.7	0.245614035	1.14
0.28	1.4	5.7	0.245614035	1.14
0.28	1.4	5.8	0.24137931	1.16
0.28	1.4	5.8	0.24137931	1.16
0.3	1.5	5.8	0.25862069	1.16
0.315	1.5	5.6	0.267857143	1.18
0.266	1.4	5.8	0.24137931	1.10
0.294	1.4	5.8	0.24137931	1.22
0.285	1.5	5.8	0.25862069	1.10
0.315	1.5	5.6	0.267857143	1.18
0.285	1.5	5.8	0.25862069	1.10
0.285	1.5	5.8	0.25862069	1.10
0.3	1.5	5.7	0.263157895	1.14
0.285	1.5	5.7	0.263157895	1.08
0.28	1.4	5.8	0.24137931	1.16
0.3	1.5	5.6	0.267857143	1.12
0.285	1.5	5.8	0.25862069	1.10
0.315	1.5	5.6	0.267857143	1.18
0.294	1.4	5.7	0.245614035	1.20
0.266	1.4	5.7	0.245614035	1.08
0.28	1.4	5.8	0.24137931	1.16
0.294	1.4	5.7	0.245614035	1.20
0.266	1.4	5.6	0.25		1.06
0.285	1.5	5.6	0.267857143	1.06
0.28	1.4	5.7	0.245614035	1.14
0.294	1.4	5.8	0.24137931	1.22
0.294	1.4	5.7	0.245614035	1.20
0.3	1.5	5.7	0.263157895	1.14
0.285	1.5	5.6	0.267857143	1.06
0.285	1.5	5.8	0.25862069	1.10
0.285	1.5	5.6	0.267857143	1.06
0.3	1.5	5.6	0.267857143	1.12
0.294	1.4	5.8	0.24137931	1.22
0.28	1.4	5.7	0.245614035	1.14
0.28	1.4	5.6	0.25		1.12
0.294	1.4	5.8	0.24137931	1.22
0.285	1.5	5.8	0.25862069	1.10
0.3	1.5	5.8	0.25862069	1.16
0.315	1.5	5.7	0.263157895	1.20
0.285	1.5	5.7	0.263157895	1.08
0.294	1.4	5.8	0.24137931	1.22
0.315	1.5	5.7	0.263157895	1.20
0.3	1.5	5.8	0.25862069	1.16
0.266	1.4	5.6	0.25		1.06
0.294	1.4	5.7	0.245614035	1.20
0.3	1.5	5.8	0.25862069	1.16
0.315	1.5	5.6	0.267857143	1.18
0.285	1.5	5.8	0.25862069	1.10
0.285	1.5	5.6	0.267857143	1.06
0.3	1.5	5.6	0.267857143	1.12
0.266	1.4	5.7	0.245614035	1.08
0.266	1.4	5.6	0.25		1.06
0.294	1.4	5.7	0.245614035	1.20
0.315	1.5	5.7	0.263157895	1.20
0.315	1.5	5.6	0.267857143	1.18
0.266	1.4	5.6	0.25		1.06
0.28	1.4	5.6	0.25		1.12
0.285	1.5	5.6	0.267857143	1.06
0.266	1.4	5.8	0.24137931	1.10
0.315	1.5	5.6	0.267857143	1.18
0.294	1.4	5.8	0.24137931	1.22
0.266	1.4	5.8	0.24137931	1.10
0.3	1.5	5.8	0.25862069	1.16
0.285	1.5	5.6	0.267857143	1.06
0.315	1.5	5.8	0.25862069	1.22
0.285	1.5	5.6	0.267857143	1.06
0.285	1.5	5.7	0.263157895	1.08
0.285	1.5	5.6	0.267857143	1.06
0.266	1.4	5.8	0.24137931	1.10
0.315	1.5	5.8	0.25862069	1.22
0.315	1.5	5.7	0.263157895	1.20
0.294	1.4	5.6	0.25		1.18
0.266	1.4	5.6	0.25		1.06


