time	manip	gran	press	averat	laba	proba	StZn
0	0	1	0	1	1	0	0	
10	0	1	0	1	1	0	0	
20	0	1	0	1	1	0	0	
30	0	1	0	1	1	0	0	
40	0	1	0	1	1	0	0	
50	0	1	0	1	1	0	0	
60	0	1	0	1	1	0	0	
70	0	1	0	1	1	0	0	
80	0	1	0	1	1	0	0	
90	0	1	0	2	1	0	0	
100	0	1	0	2	1	0	0	
110	0	1	0	2	1	0	0	
120	0	1	0	2	1	0	0	
130	0	1	0	2	1	0	0	
140	0	1	0	2	1	0	0	
150	0	1	0	2	1	0	0	
160	0	1	0	2	1	0	0	
170	0	1	0	2	1	0	0	
180	0	1	0	2	1	0	0	
190	0	1	0	2	1	0	0	
200	0	1	0	2	1	0	0	
210	0	1	0	2	1	0	0	
220	0	2	0	2	1	0	0	
230	0	2	0	2	1	0	0	
240	0	2	0	2	1	0	0	
250	0	2	0	2	1	0	0	
260	0	2	0	2	1	0	0	
270	0	2	0	2	1	0	0	
280	0	2	0	2	1	0	0	
290	0	2	0	2	1	0	0	
300	0	2	0	2	1	0	0	
310	0	2	0	2	1	0	0	
320	0	2	0	2	1	0	0	
330	0	2	0	2	1	0	0	
340	0	2	0	2	1	0	0	
350	0	2	0	2	1	0	0	
360	0	2	0	2	1	0	0	
370	0	2	0	2	1	0	0	
380	0	2	0	2	2	0	0	
390	1	2	0	0	0	0	0	
400	0	2	0	0	0	0	0	
410	1	0	0	0	0	2	0	
420	1	0	0	0	1	2	0	
430	0	0	0	0	1	2	0	
440	0	0	0	1	1	0	0	
450	1	0	0	1	1	0	0	
460	0	0	0	1	1	0	0	
470	0	0	0	1	1	0	1	
480	0	0	0	1	1	0	1	
490	0	0	0	1	1	0	2	
500	0	0	0	1	1	0	2	
510	0	0	0	1	1	0	2	
520	0	0	0	1	1	0	2	
530	0	0	0	2	1	0	2	
540	0	0	0	2	1	0	2	
550	0	0	0	2	1	0	2	
560	0	0	0	2	1	0	2	
570	0	0	0	2	1	0	2	
580	0	0	0	2	1	0	2	
590	0	0	0	2	1	0	2	
600	0	0	0	2	1	0	2	
610	0	0	0	2	1	0	2	
620	0	0	0	2	1	0	2	
630	0	0	0	2	1	0	2	
640	0	0	0	2	1	0	2	
650	0	0	0	2	1	0	2	
660	0	0	0	2	1	0	2	
670	0	0	0	2	1	0	2	
680	0	0	0	2	1	0	2	
690	0	0	0	2	1	0	2	
700	0	0	0	2	1	0	2	
710	0	0	0	2	1	0	2	
720	0	0	0	2	1	0	2	
730	0	0	0	2	1	0	2	
740	0	0	0	2	1	0	2	
750	0	0	0	2	1	0	2	
760	0	0	0	2	1	0	2	
770	0	0	0	2	1	0	2	
780	0	0	0	2	2	0	2	
790	1	0	0	0	0	0	2	
800	0	0	0	0	0	0	2	
810	1	0	0	0	0	2	2	
820	1	0	0	0	1	2	2	
830	0	0	0	0	1	2	2	
840	1	0	1	0	1	2	2	
850	1	0	1	0	1	2	2	
860	1	0	1	0	1	2	2	
870	1	0	1	0	1	2	2	
880	0	0	1	0	1	2	2	
890	0	1	1	0	1	0	2	
