time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
10	0	1	0	6	3	0	0	3	0	8	
20	0	1	0	6	3	0	0	3	0	8	
30	0	1	0	6	3	0	0	3	0	8	
40	0	1	0	6	3	0	0	3	0	8	
50	0	1	0	6	3	0	0	3	0	8	
60	0	1	0	6	3	0	0	3	0	8	
70	0	1	0	6	3	0	0	3	0	8	
80	0	1	0	6	3	0	0	3	0	8	
90	0	1	0	7	3	0	0	3	0	8	
100	0	1	0	7	3	0	0	3	0	8	
110	0	1	0	7	3	0	0	3	0	8	
120	0	1	0	7	3	0	0	3	0	8	
130	0	1	0	7	3	0	0	3	0	8	
140	0	1	0	7	3	0	0	3	0	8	
150	0	1	0	7	3	0	0	3	0	8	
160	0	1	0	7	3	0	0	3	0	8	
170	0	1	0	7	3	0	0	3	0	8	
180	0	1	0	7	3	0	0	3	0	8	
190	0	1	0	7	3	0	0	3	0	8	
200	0	1	0	7	3	0	0	3	0	8	
210	0	1	0	7	3	0	0	3	0	8	
220	0	2	0	7	3	0	0	3	0	8	
230	0	2	0	7	3	0	0	3	0	8	
240	0	2	0	7	3	0	0	3	0	8	
250	0	2	0	7	3	0	0	3	0	8	
260	0	2	0	7	3	0	0	3	0	8	
270	0	2	0	7	3	0	0	3	0	8	
280	0	2	0	7	3	0	0	3	0	8	
290	0	2	0	7	3	0	0	3	0	8	
300	0	2	0	7	3	0	0	3	0	8	
310	0	2	0	7	3	0	0	3	0	8	
320	0	2	0	7	3	0	0	3	0	8	
330	0	2	0	7	3	0	0	3	0	8	
340	0	2	0	7	3	0	0	3	0	8	
350	0	2	0	7	3	0	0	3	0	8	
360	0	2	0	7	3	0	0	3	0	8	
370	0	2	0	7	3	0	0	3	0	8	
380	7	2	0	0	0	0	0	4	0	8	
390	7	2	0	0	0	0	0	4	0	8	
400	2	0	0	0	0	7	0	4	0	8	
410	2	0	0	0	7	7	0	4	0	8	
420	2	0	0	0	7	7	0	4	0	8	
430	7	0	0	2	7	0	0	4	0	8	
440	4	0	0	2	7	0	0	0	7	8	
450	4	0	0	2	7	0	0	0	7	8	
460	0	0	0	2	7	0	4	0	7	8	
470	0	0	0	2	7	0	4	0	7	8	
480	0	0	0	2	7	0	4	0	7	8	
490	0	0	0	2	7	0	6	0	7	8	
500	0	0	0	2	7	0	6	0	7	8	
510	0	0	0	2	7	0	6	0	7	8	
520	0	0	0	2	7	0	6	0	7	8	
530	0	0	0	3	7	0	6	0	7	8	
540	0	0	0	3	7	0	6	0	7	8	
550	0	0	0	3	7	0	6	0	7	8	
560	0	0	0	3	7	0	6	0	7	8	
570	0	0	0	3	7	0	6	0	7	8	
580	0	0	0	3	7	0	6	0	7	8	
590	0	0	0	3	7	0	6	0	7	8	
600	0	0	0	3	7	0	6	0	7	8	
610	0	0	0	3	7	0	6	0	7	8	
620	0	0	0	3	7	0	6	0	7	8	
630	0	0	0	3	7	0	6	0	7	8	
640	0	0	0	3	7	0	6	0	7	8	
650	0	0	0	3	7	0	6	0	7	8	
660	0	0	0	3	7	0	6	0	7	8	
670	0	0	0	3	7	0	6	0	7	8	
680	0	0	0	3	7	0	6	0	7	8	
690	0	0	0	3	7	0	6	0	7	8	
700	0	0	0	3	7	0	6	0	7	8	
710	0	0	0	3	7	0	6	0	7	8	
720	0	0	0	3	7	0	6	0	7	8	
730	0	0	0	3	7	0	6	0	7	8	
740	0	0	0	3	7	0	6	0	7	8	
750	0	0	0	3	7	0	6	0	7	8	
760	0	0	0	3	7	0	6	0	7	8	
770	0	0	0	3	7	0	6	0	7	8	
780	3	0	0	0	0	0	6	0	8	8	
790	3	0	0	0	0	0	6	0	8	8	
800	8	0	0	0	0	3	6	0	0	8	
810	8	0	0	0	3	3	6	0	0	8	
820	8	0	0	0	3	3	6	0	0	8	
830	1	0	0	0	3	3	6	0	0	8	
840	1	0	0	0	3	3	6	0	0	8	
850	1	0	0	0	3	3	6	0	0	8	
860	1	0	0	0	3	3	6	0	0	8	
870	1	0	0	0	3	3	6	0	0	8	
880	3	1	0	0	3	0	6	0	0	8	
890	6	1	0	0	3	0	0	3	0	8	
900	6	1	0	0	3	0	0	3	0	8	
910	0	1	0	6	3	0	0	3	0	8	
920	0	1	0	6	3	0	0	3	0	8	
930	0	1	0	6	3	0	0	3	0	8	
940	0	1	0	6	3	0	0	3	0	8	
950	0	1	0	6	3	0	0	3	0	8	
960	0	1	0	6	3	0	0	3	0	8	
970	0	1	0	6	3	0	0	3	0	8	
980	0	1	0	6	3	0	0	3	0	8	
990	0	1	0	6	3	0	0	3	0	8	
1000	0	1	0	6	3	0	0	3	0	8	
1010	0	1	0	7	3	0	0	3	0	8	
1020	0	1	0	7	3	0	0	3	0	8	
1030	0	1	0	7	3	0	0	3	0	8	
1040	0	1	0	7	3	0	0	3	0	8	
1050	0	1	0	7	3	0	0	3	0	8	
1060	0	1	0	7	3	0	0	3	0	8	
1070	0	1	0	7	3	0	0	3	0	8	
1080	0	1	0	7	3	0	0	3	0	8	
1090	0	2	0	7	3	0	0	3	0	8	
1100	0	2	0	7	3	0	0	3	0	8	
1110	0	2	0	7	3	0	0	3	0	8	
1120	0	2	0	7	3	0	0	3	0	8	
1130	0	2	0	7	3	0	0	3	0	8	
1140	0	2	0	7	3	0	0	3	0	8	
1150	0	2	0	7	3	0	0	3	0	8	
1160	0	2	0	7	3	0	0	3	0	8	
1170	7	2	0	0	0	0	0	4	0	8	
1180	7	2	0	0	0	0	0	4	0	8	
1190	2	0	0	0	0	7	0	4	0	8	
1200	2	0	0	0	7	7	0	4	0	8	
1210	2	0	0	0	7	7	0	4	0	8	
1220	7	0	0	2	7	0	0	4	0	8	
1230	4	0	0	2	7	0	0	0	7	8	
1240	4	0	0	2	7	0	0	0	7	8	
1250	0	0	0	2	7	0	4	0	7	8	
1260	0	0	0	2	7	0	4	0	7	8	
1270	0	0	0	2	7	0	4	0	7	8	
1280	0	0	0	3	7	0	6	0	7	8	
1290	0	0	0	3	7	0	6	0	7	8	
1300	0	0	0	3	7	0	6	0	7	8	
1310	0	0	0	3	7	0	6	0	7	8	
1320	0	0	0	3	7	0	6	0	7	8	
1330	0	0	0	3	7	0	6	0	7	8	
1340	0	0	0	3	7	0	6	0	7	8	
1350	0	0	0	3	7	0	6	0	7	8	
1360	0	0	0	3	7	0	6	0	7	8	
1370	0	0	0	3	7	0	6	0	7	8	
1380	0	0	0	3	7	0	6	0	7	8	
