time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
10	0	1	0	4	2	0	0	2	0	3	
20	0	1	0	4	2	0	0	2	0	3	
30	0	1	0	4	2	0	0	2	0	3	
40	0	1	0	4	2	0	0	2	0	3	
50	0	1	0	4	2	0	0	2	0	3	
60	0	1	0	4	2	0	0	2	0	3	
70	0	1	0	4	2	0	0	2	0	3	
80	0	1	0	4	2	0	0	2	0	3	
90	0	1	0	4	2	0	0	2	0	3	
100	0	1	0	4	2	0	0	2	0	3	
110	0	1	0	4	2	0	0	2	0	3	
120	0	1	0	4	2	0	0	2	0	3	
130	0	1	0	4	2	0	0	2	0	3	
140	0	1	0	4	2	0	0	2	0	3	
150	0	1	0	4	2	0	0	2	0	3	
160	0	1	0	4	2	0	0	2	0	3	
170	0	1	0	4	2	0	0	2	0	3	
180	0	1	0	4	2	0	0	2	0	3	
190	0	1	0	4	2	0	0	2	0	3	
200	0	1	0	4	2	0	0	2	0	3	
210	0	1	0	4	2	0	0	2	0	3	
220	0	1	0	4	2	0	0	2	0	3	
230	0	1	0	4	2	0	0	2	0	3	
240	0	1	0	4	2	0	0	2	0	3	
250	0	1	0	4	2	0	0	2	0	3	
260	0	1	0	4	2	0	0	2	0	3	
270	0	1	0	4	2	0	0	2	0	3	
280	0	1	0	4	2	0	0	2	0	3	
290	0	1	0	4	2	0	0	2	0	3	
300	0	1	0	4	2	0	0	2	0	3	
310	0	1	0	4	2	0	0	2	0	3	
320	0	1	0	4	2	0	0	2	0	3	
330	0	1	0	4	2	0	0	2	0	3	
340	0	1	0	4	2	0	0	2	0	3	
350	0	1	0	4	2	0	0	2	0	3	
360	0	1	0	4	2	0	0	2	0	3	
370	0	1	0	4	2	0	0	2	0	3	
380	4	1	0	0	0	0	0	2	0	3	
390	4	1	0	0	0	0	0	2	0	3	
400	1	0	0	0	0	4	0	2	0	3	
410	1	0	0	0	4	4	0	2	0	3	
420	1	0	0	0	4	4	0	2	0	3	
430	4	0	0	1	4	0	0	2	0	3	
440	2	0	0	1	4	0	0	0	4	3	
450	2	0	0	1	4	0	0	0	4	3	
460	0	0	0	1	4	0	2	0	4	3	
470	0	0	0	1	4	0	2	0	4	3	
480	0	0	0	1	4	0	2	0	4	3	
490	0	0	0	1	4	0	2	0	4	3	
500	0	0	0	1	4	0	2	0	4	3	
510	0	0	0	1	4	0	2	0	4	3	
520	0	0	0	1	4	0	2	0	4	3	
530	0	0	0	1	4	0	2	0	4	3	
540	0	0	0	1	4	0	2	0	4	3	
550	0	0	0	1	4	0	2	0	4	3	
560	0	0	0	1	4	0	2	0	4	3	
570	0	0	0	1	4	0	2	0	4	3	
580	0	0	0	1	4	0	2	0	4	3	
590	0	0	0	1	4	0	2	0	4	3	
600	0	0	0	1	4	0	2	0	4	3	
610	0	0	0	1	4	0	2	0	4	3	
620	0	0	0	1	4	0	2	0	4	3	
630	0	0	0	1	4	0	2	0	4	3	
640	0	0	0	1	4	0	2	0	4	3	
650	0	0	0	1	4	0	2	0	4	3	
660	0	0	0	1	4	0	2	0	4	3	
670	0	0	0	1	4	0	2	0	4	3	
680	0	0	0	1	4	0	2	0	4	3	
690	0	0	0	1	4	0	2	0	4	3	
700	0	0	0	1	4	0	2	0	4	3	
710	0	0	0	1	4	0	2	0	4	3	
720	0	0	0	1	4	0	2	0	4	3	
730	0	0	0	1	4	0	2	0	4	3	
740	0	0	0	1	4	0	2	0	4	3	
750	0	0	0	1	4	0	2	0	4	3	
760	0	0	0	1	4	0	2	0	4	3	
770	0	0	0	1	4	0	2	0	4	3	
