time	manip	gran	press	averat	laba	proba	StZn
10	10000	100000	1200	100000	100000	100000	100000	
20	10000	100000	1200	100000	100000	100000	100000	
30	10000	100000	1200	100000	100000	100000	100000	
40	10000	100000	1200	100000	100000	100000	100000	
50	10000	100000	1200	100000	100000	100000	100000	
60	10000	100000	1200	100000	100000	100000	100000	
70	10000	100000	1200	100000	100000	100000	100000	
80	10000	100000	1200	100000	100000	100000	100000	
90	10000	100000	1200	99815	100000	100000	100000	
100	10000	100000	1200	99815	100000	100000	100000	
110	10000	100000	1200	99815	100000	100000	100000	
120	10000	100000	1200	99815	100000	100000	100000	
130	10000	100000	1200	99815	100000	100000	100000	
140	10000	100000	1200	99815	100000	100000	100000	
150	10000	100000	1200	99815	100000	100000	100000	
160	10000	100000	1200	99815	100000	100000	100000	
170	10000	100000	1200	99815	100000	100000	100000	
180	10000	100000	1200	99815	100000	100000	100000	
190	10000	100000	1200	99815	100000	100000	100000	
200	10000	100000	1200	99815	100000	100000	100000	
210	10000	100000	1200	99815	100000	100000	100000	
220	10000	99572	1200	99815	100000	100000	100000	
230	10000	99572	1200	99815	100000	100000	100000	
240	10000	99572	1200	99815	100000	100000	100000	
250	10000	99572	1200	99815	100000	100000	100000	
260	10000	99572	1200	99815	100000	100000	100000	
270	10000	99572	1200	99815	100000	100000	100000	
280	10000	99572	1200	99815	100000	100000	100000	
290	10000	99572	1200	99815	100000	100000	100000	
300	10000	99572	1200	99815	100000	100000	100000	
310	10000	99572	1200	99815	100000	100000	100000	
320	10000	99572	1200	99815	100000	100000	100000	
330	10000	99572	1200	99815	100000	100000	100000	
340	10000	99572	1200	99815	100000	100000	100000	
350	10000	99572	1200	99815	100000	100000	100000	
360	10000	99572	1200	99815	100000	100000	100000	
370	10000	99572	1200	99815	100000	100000	100000	
380	10000	99572	1200	99815	100000	100000	100000	
390	10000	99572	1200	99815	100000	100000	100000	
400	9988	99572	1200	99815	100000	100000	100000	
410	9988	99572	1200	99815	100000	100000	100000	
420	9988	99572	1200	99815	100000	100000	100000	
430	9958	99572	1200	99815	100000	100000	100000	
440	9952	99572	1200	99815	100000	100000	100000	
450	9952	99572	1200	99815	100000	100000	100000	
460	9940	99572	1200	99815	100000	100000	100000	
470	9940	99572	1200	99815	100000	100000	100000	
480	9940	99572	1200	99815	100000	100000	100000	
490	9940	99572	1200	99815	100000	100000	99939	
500	9940	99572	1200	99815	100000	100000	99939	
510	9940	99572	1200	99815	100000	100000	99939	
520	9940	99572	1200	99815	100000	100000	99939	
530	9940	99572	1200	99620	100000	100000	99939	
540	9940	99572	1200	99620	100000	100000	99939	
550	9940	99572	1200	99620	100000	100000	99939	
560	9940	99572	1200	99620	100000	100000	99939	
570	9940	99572	1200	99620	100000	100000	99939	
580	9940	99572	1200	99620	100000	100000	99939	
590	9940	99572	1200	99620	100000	100000	99939	
600	9940	99572	1200	99620	100000	100000	99939	
610	9940	99572	1200	99620	100000	100000	99939	
620	9940	99572	1200	99620	100000	100000	99939	
630	9940	99572	1200	99620	100000	100000	99939	
640	9940	99572	1200	99620	100000	100000	99939	
650	9940	99572	1200	99620	100000	100000	99939	
660	9940	99572	1200	99620	100000	100000	99939	
670	9940	99572	1200	99620	100000	100000	99939	
680	9940	99572	1200	99620	100000	100000	99939	
690	9940	99572	1200	99620	100000	100000	99939	
700	9940	99572	1200	99620	100000	100000	99939	
710	9940	99572	1200	99620	100000	100000	99939	
720	9940	99572	1200	99620	100000	100000	99939	
730	9940	99572	1200	99620	100000	100000	99939	
740	9940	99572	1200	99620	100000	100000	99939	
750	9940	99572	1200	99620	100000	100000	99939	
760	9940	99572	1200	99620	100000	100000	99939	
770	9940	99572	1200	99620	100000	100000	99939	
780	9940	99572	1200	99620	100000	100000	99939	
790	9940	99572	1200	99620	100000	100000	99939	
800	9928	99572	1200	99620	100000	100000	99939	
810	9928	99572	1200	99620	100000	100000	99939	
820	9928	99572	1200	99620	100000	100000	99939	
830	9898	99572	1200	99620	100000	100000	99939	
840	9898	99572	1200	99620	100000	100000	99939	
850	9898	99572	1200	99620	100000	100000	99939	
860	9898	99572	1200	99620	100000	100000	99939	
870	9898	99572	1200	99620	100000	100000	99939	
880	9848	99572	1200	99620	100000	100000	99939	
890	9842	99572	1200	99620	100000	100000	99939	
900	9842	99572	1200	99620	100000	100000	99939	
910	9827	99572	1200	99620	100000	100000	99939	
920	9827	99572	1200	99620	100000	100000	99939	
930	9827	99572	1200	99620	100000	100000	99939	
940	9827	99572	1200	99620	100000	100000	99939	
950	9827	99572	1200	99620	100000	100000	99939	
960	9827	99572	1200	99620	100000	100000	99939	
970	9827	99572	1200	99620	100000	100000	99939	
980	9827	99572	1200	99620	100000	100000	99939	
990	9827	99572	1200	99620	100000	100000	99939	
1000	9827	99572	1200	99620	100000	100000	99939	
1010	9827	99572	1200	99460	100000	100000	99939	
1020	9827	99572	1200	99460	100000	100000	99939	
1030	9827	99572	1200	99460	100000	100000	99939	
1040	9827	99572	1200	99460	100000	100000	99939	
