time	manip	gran	press	averat	laba	proba	StZn
0	0	1	0	1	0	0	1	
1	0	1	0	1	0	0	1	
2	0	1	0	1	0	0	1	
3	0	1	0	1	0	0	1	
4	0	1	0	1	0	0	1	
5	0	1	0	1	0	0	1	
6	0	1	0	1	0	0	1	
7	0	1	0	1	0	0	1	
8	0	1	0	1	0	0	1	
9	0	1	0	1	0	0	1	
10	0	1	0	1	0	0	1	
11	0	1	0	1	0	0	1	
12	0	1	0	1	0	0	1	
13	0	1	0	1	0	0	1	
14	0	1	0	1	0	0	1	
15	0	1	0	1	0	0	1	
16	0	1	0	1	0	0	1	
17	0	1	0	1	0	0	1	
18	0	1	0	1	0	0	1	
19	0	1	0	1	0	0	1	
20	0	1	0	1	0	0	1	
21	0	1	0	1	0	0	1	
22	0	1	0	1	0	0	1	
23	0	1	0	1	0	0	1	
24	0	1	0	1	0	0	1	
25	0	1	0	1	0	0	1	
26	0	1	0	1	0	0	1	
27	0	1	0	1	0	0	1	
28	0	1	0	1	0	0	1	
29	0	1	0	1	0	0	1	
30	0	2	0	1	0	0	1	
31	0	2	0	1	0	0	2	
32	0	2	0	1	0	0	2	
33	0	2	0	1	0	0	2	
34	0	2	0	1	0	0	2	
35	0	2	0	1	0	0	2	
36	0	2	0	1	0	0	2	
37	0	2	0	1	0	0	2	
38	0	2	0	1	0	0	2	
39	0	2	0	1	0	0	2	
40	0	2	0	1	0	0	2	
41	0	2	0	1	0	0	2	
42	0	2	0	1	0	0	2	
43	0	2	0	1	0	0	2	
44	0	2	0	1	0	0	2	
45	0	2	0	1	0	0	2	
46	0	2	0	1	0	0	2	
47	0	2	0	1	0	0	2	
48	0	2	0	1	0	0	2	
49	0	2	0	1	0	0	2	
50	0	2	0	1	0	0	2	
51	0	2	0	1	0	0	2	
52	0	2	0	1	0	0	2	
53	0	2	0	1	0	0	2	
54	0	2	0	1	0	0	2	
55	0	2	0	1	0	0	2	
56	0	2	0	1	0	0	2	
57	0	2	0	1	0	0	2	
58	0	2	0	1	0	0	2	
59	0	2	0	1	0	0	2	
60	0	2	0	1	0	0	2	
61	0	2	0	1	0	0	2	
62	0	2	0	1	0	0	2	
63	0	2	0	1	0	0	2	
64	0	2	0	1	0	0	2	
65	0	2	0	1	0	0	2	
66	0	2	0	1	0	0	2	
67	0	2	0	1	0	0	2	
68	0	2	0	1	0	0	2	
69	0	2	0	1	0	0	2	
70	0	2	0	1	0	0	2	
71	0	2	0	1	0	0	2	
72	0	2	0	1	0	0	2	
73	0	2	0	1	0	0	2	
74	0	2	0	1	0	0	2	
75	0	2	0	1	0	0	2	
76	0	2	0	1	0	0	2	
77	0	2	0	1	0	0	2	
78	0	2	0	1	0	0	2	
79	0	2	0	1	0	0	2	
80	0	2	0	1	0	0	2	
81	0	2	0	1	0	0	2	
82	0	2	0	1	0	0	2	
83	0	2	0	1	0	0	2	
84	0	2	0	1	0	0	2	
85	0	2	0	1	0	0	2	
86	0	2	0	1	0	0	2	
87	0	2	0	1	0	0	2	
88	0	2	0	1	0	0	2	
89	0	2	0	1	0	0	2	
90	0	2	0	1	0	0	2	
91	0	2	0	1	0	0	2	
92	0	2	0	1	0	0	2	
93	0	2	0	1	0	0	2	
94	0	2	0	1	0	0	2	
95	0	2	0	1	0	0	2	
96	0	2	0	1	0	0	2	
97	0	2	0	2	0	0	2	
98	1	2	0	0	0	0	2	
99	1	2	0	0	0	0	2	
100	1	2	0	0	0	0	2	
101	1	2	0	0	0	0	2	
102	1	2	0	0	0	0	2	
103	1	2	0	0	0	0	2	
104	1	2	0	0	0	0	2	
105	1	2	0	0	0	0	2	
106	1	2	0	0	0	0	2	
107	1	2	0	0	0	0	2	
108	1	2	0	0	0	0	2	
109	0	2	0	0	0	0	2	
110	1	0	0	0	0	1	2	
111	1	0	0	0	0	1	2	
112	1	0	0	0	0	1	2	
113	1	0	0	0	0	1	2	
114	1	0	0	0	0	1	2	
115	1	0	0	0	0	2	2	
116	1	0	0	0	1	2	2	
117	1	0	0	0	1	2	2	
118	1	0	0	0	1	2	2	
119	1	0	0	0	1	2	2	
120	1	0	0	0	1	2	2	
121	1	0	0	0	1	2	2	
122	1	0	0	0	1	2	2	
123	1	0	0	0	1	2	2	
124	1	0	0	0	1	2	2	
125	1	0	0	0	1	2	2	
126	1	0	0	0	1	2	2	
127	1	0	0	0	1	2	2	
128	1	0	0	0	1	2	2	
129	1	0	0	0	1	2	2	
130	1	0	0	0	1	2	2	
131	1	0	0	0	1	2	2	
132	1	0	0	0	1	2	2	
133	1	0	0	0	1	2	2	
134	1	0	0	0	1	2	2	
135	1	0	0	0	1	2	2	
136	1	0	0	0	1	2	2	
137	1	0	0	0	1	2	2	
138	1	0	0	0	1	2	2	
139	0	0	0	0	1	2	2	
140	1	0	0	1	1	0	2	
141	1	0	0	1	1	0	2	
142	1	0	0	1	1	0	2	
143	1	0	0	1	1	0	2	
144	1	0	0	1	1	0	2	
145	0	0	0	1	1	0	2	
146	0	0	0	1	1	0	2	
147	0	0	0	1	1	0	2	
148	0	0	0	1	1	0	2	
149	0	0	0	1	1	0	2	
150	0	0	0	1	1	0	2	
151	0	0	0	1	1	0	2	
152	0	0	0	1	1	0	2	
153	0	0	0	1	1	0	2	
154	0	0	0	1	1	0	2	
155	0	0	0	1	1	0	2	
156	0	0	0	1	1	0	2	
